annotation_id,customer_message,support_response,semantic_cluster,human_intent,annotation_confidence,annotation_notes
107,"And all of a sudden, for no reason, 80GB of music got wiped. WTF, ? ›","@128489 We know how important your music is, and we'd like to look into what happened to your songs. To start, send us a DM. https://t.co/GDrqU22YpT",10,apps_app_store,high,"The problem occurs when importing a recording into iMovie, making it an application-specific issue."
108,"All website. I can record with audio. The recording are playing well in Photos and the sound is ok. But when I import them in iMovie, the sound doesn’t follow. Only if I was in Safari when I made the screen recording",@121032 Is this iMovie for iOS or for the Mac?,10,apple_music,high,Music cannot play because Apple Music is stuck on 'indexing'.
109,It’s says it’s “indexing” and won’t play my music,@128488 Thanks for that info. Restart the iPhone and then DM us if that issue persists. https://t.co/GDrqU22YpT,10,apple_music,high,Customer cannot play music or albums offline and reports an Apple Music/iTunes access problem.
110,Apple Music?? That way I've lost a lot of unnecessary money and I still can't listen to albums and single offline or most of the time even with WIFI because it keeps telling me I need an Apple Music plan for my ITUNES music?? please help,@136038 We'd like to see what's going on with your music you purchase. DM us and let us know which device you are purchasing the music on and if you have iCloud Music Library enabled. We'll get started there. https://t.co/GDrqU2kzhr,10,apple_music,high,Customer explicitly reports Apple Music/iTunes music access and subscription-related problems.
111,I can’t because it sends a code to the phone I can’t use??,"@125905 Do you have access to a computer? If so, you can log into your Apple ID account page to make these changes shown in the guide.",11,apple_id_icloud,high,"Customer cannot receive the verification code because they cannot access the trusted phone, which is an Apple ID/account-access problem."
112,Are refurbished iPads used less than a month? 30 day return policy from most stores!!,"@140207 Hello and thanks for reaching out to us. We test and certify all Apple refurbished products and include a 1-year warranty. All refurbished iPad models also include a brand new battery, new outer shell and a new white box. DM us with any other questions. https://t.co/GDrqU22YpT",11,other_unclear,high,"Customer is asking about refurbished iPad usage and return policy, which is outside the technical-support taxonomy."
113,Thank you. Twitter didn’t notify me of your reply :( so restored phone & ok now. Was phone storage not iCloud.,"@125426 We're glad to hear the issue has since been resolved. Let us know if you have any further questions. Additionally, there may have been a new update to iOS 11. If you're not on iOS 11.1.1, we'd recommend backing up and updating to that latest version.",11,other_unclear,high,"Customer is asking about phone storage and distinguishes it from iCloud, but the actual storage issue is outside the current taxonomy."
114,I’m having trouble accessing your website to purchase something. Any chance you know when it’ll be available again?,@143285 We're happy to help. What happens when you try to make a purchase? Are you getting an error message?,11,other_unclear,high,Customer cannot access Apple's website to make a purchase; website and purchasing issues are outside the current taxonomy.
115,"No, these are all the options in the general spot. Siri settings also do not appear in search.","@144223 You mentioned wanting to use Siri only on your Apple Watch, is that right? To be sure we understand, do you have Siri disabled on the paired iPhone right now?",11,other_unclear,high,Siri settings and Apple Watch configuration do not fit any of the current 10 intents.
116,Four videos are suddenly gone from my phone...would the automatic iCloud backing-up do that? Clear space by transferring them there?? That's the only thing that could make any sense.,@135614 Let's check some settings on your device. Tap Settings &gt; Photos. Is iCloud Photo Library on? Have you signed out of your Apple ID?,11,apple_id_icloud,high,Customer asks about iCloud automatically backing up or removing photos and mentions Apple ID settings.
117,where do we forward fake Apple emails?,@139840 We certainly appreciate you reaching out to us on this. This article should assist: https://t.co/LNMCdqt6fD,11,other_unclear,high,"Reporting fake Apple emails is a security and phishing-reporting issue, which is outside the current taxonomy."
118,Hey - Over the last few days my messages app on my iMac and MBA stopped syncing with my iMessages from my iOS devices. Any ideas on how to fix this problem? I've lost one of my favorite parts of AppleSimplicity,"@138696 We’d love to help with your messages. To start, do you see your iMac and MacBook enabled if you tap Settings &gt; Messages &gt; Text Message Forwarding on your iPhone?",11,connectivity,medium,"iMessage is not syncing between devices, indicating a device-to-device communication or synchronization problem, although the exact cause is unclear."
119,I'm desperate. my grandkid just turned on voiceover with the internet off. I tried rebooting and now it wants my passcode but won't let me enter it. How do I get access to my ipad again.,@142196 We've got your DM and will continue with you there! Be on the lookout for our reply. Thank you!,11,other_unclear,high,VoiceOver and passcode access problem does not clearly fit the current taxonomy.
120,"Yes. The same email accounts are on my Mac, iPad, and 6S Plus",@143490 Your mail should sync automatically. Are you experiencing anything different with your devices?,11,other_unclear,high,Customer only confirms that the same email accounts exist across devices; no specific support problem is stated.
